20:24
1; 4; Tail
2; 2; Tail
3; 1; Tail
4; 3; Tail
5; 2; Tail
6; 2; Tail
7; 4; Tail
8; 1; Tail
9; 1; Tail
10; 1; Tail
11; 2; Tail
12; 2; Tail
13; 2; Tail
14; 1; Tail
15; 3; Tail
16; 2; Tail
17; 1; Screen
18; 2; Tail
19; 1; Tail
20; 4; Tail
21; 2; Tail
22; 1; Tail
23; 1; Tail
24; 1; Tail
25; 1; Tail
26; 1; Tail
27; 3; Tail
28; 2; Tail
29; 1; Tail
30; 1; Tail
31; 2; Tail
32; 1; Tail
33; 1; Tail
34; 2; Tail
35; 1; Tail
36; 1; Tail
37; 3; Tail
38; 1; Tail
39; 2; Tail
40; 1; Tail
41; 1; Tail
42; 1; Tail
43; 2; Tail
44; 1; Screen
45; 1; Tail
46; 1; Tail
47; 3; Tail
48; 2; Tail
49; 1; Tail
50; 2; Tail
51; 2; Tail
52; 1; Tail
53; 1; Tail
54; 1; Tail
55; 1; Tail
56; 1; Tail
57; 1; Tail
58; 3; Tail
59; 3; Tail
60; 1; Tail
61; 3; Tail
62; 2; Tail
63; 1; Tail
64; 1; Tail
65; 5; Tail
66; 1; Tail
67; 3; Tail
68; 2; Screen
69; 3; Tail
70; 1; Tail
71; 1; Tail
72; 1; Tail
73; 1; Tail
74; 1; Tail
75; 1; Tail
76; 2; Tail
77; 1; Tail
78; 2; Tail
79; 1; Tail
80; 1; Tail
81; 1; Tail
82; 1; Tail
83; 1; Tail
84; 3; Tail
85; 4; Tail
86; 1; Tail
87; 1; Tail
88; 1; Tail
89; 1; Tail
90; 1; Tail
91; 1; Tail
92; 1; Tail
93; 1; Tail
94; 1; Tail
95; 3; Tail
96; 2; Tail
97; 0; Screen
98; 1; Tail
99; 1; Tail
100; 1; Tail
101; 28; Tail
102; 28; Tail
103; 6; Tail
104; 22; Tail
105; 26; Tail
106; 25; Tail
107; 15; Tail
108; 13; Screen
109; 31; Screen
110; 5; Tail
111; 24; Tail
112; 27; Tail
113; 7; Screen
114; 26; Tail
115; 3; Tail
116; 15; Tail
117; 20; Tail
118; 7; Screen
119; 10; Tail
120; 16; Tail
121; 35; Tail
122; 37; Tail
123; 53; Tail
124; 19; Tail
125; 27; Tail
126; 50; Tail
127; 46; Tail
128; 30; Tail
129; 12; Tail
130; 33; Tail
131; 42; Tail
132; 57; Tail
133; 51; Tail
134; 42; Tail
135; 28; Tail
136; 24; Tail
137; 54; Tail
138; 9; Tail
139; 33; Tail
140; 14; Tail
141; 53; Tail
142; 30; Tail
143; 29; Tail
144; 43; Tail
145; 29; Tail
146; 37; Tail
147; 22; Tail
148; 30; Tail
149; 37; Tail
150; 23; Tail
151; 33; Tail
152; 48; Tail
153; 64; Tail
154; 20; Tail
155; 33; Tail
156; 26; Tail
157; 50; Tail
158; 24; Tail
