0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,1
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,2
28,2
29,0
30,0
31,0
32,0
33,0
34,2
35,1
36,0
37,1
38,0
39,0
40,1
41,0
42,0
43,2
44,2
45,0
46,3
47,1
48,1
49,2
50,2
51,2
52,2
53,0
54,2
55,0
56,1
57,1
58,2
59,1
60,2
61,1
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,0
72,2
73,0
74,2
75,3
76,2
77,4
78,1
79,0
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,0
88,1
89,2
90,3
91,2
92,2
93,2
94,3
95,2
96,4
97,3
98,2
99,3
100,2
101,2
102,1
103,3
104,1
105,4
106,2
107,2
108,0
109,3
110,2
111,2
112,4
113,2
114,5
115,2
116,4
117,3
118,2
119,3
120,2
121,3
122,2
123,2
124,2
125,5
126,3
127,5
128,4
129,3
130,5
131,2
132,2
133,1
134,2
135,7
136,4
137,2
138,6
139,2
140,5
141,4
142,2
143,4
144,2
145,2
146,4
147,2
148,2
149,2
150,5
151,10
152,2
153,3
154,3
155,10
156,2
157,2
158,6
159,2
160,4
161,11
162,2
163,2
164,7
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,4
173,2
174,2
175,2
176,12
177,3
178,4
179,3
180,2
181,4
182,2
183,4
184,5
185,2
186,2
187,2
188,5
189,3
190,2
191,5
192,5
193,10
194,3
195,5
196,4
197,5
198,3
199,3
200,6
201,4
202,5
203,3
204,7
205,2
206,2
207,2
208,3
209,3
210,5
211,2
212,7
213,3
214,5
215,4
216,5
217,3
218,5
219,6
220,3
221,2
222,3
223,8
224,2
225,2
226,7
227,2
228,5
229,2
230,2
231,7
232,2
233,9
234,2
235,4
236,5
237,5
238,4
239,6
240,3
241,2
242,5
243,2
244,2
245,4
246,3
247,3
248,4
249,2
250,4
251,4
252,2
253,7
254,5
255,4
256,4
257,2
258,7
259,2
260,8
261,2
262,2
263,2
264,4
265,4
266,4
267,10
268,11
269,3
270,2
271,6
272,2
273,4
274,3
275,4
276,2
277,2
278,2
279,3
280,4
281,2
282,4
283,7
284,3
285,3
286,3
287,3
288,6
289,2
290,3
291,5
292,3
293,4
294,5
295,4
296,3
297,3
298,2
299,2
300,2
301,3
302,6
303,7
304,11
305,8
306,2
307,2
308,4
309,7
310,6
311,4
312,2
313,4
314,3
315,5
316,4
317,4
318,2
319,6
320,9
321,3
322,8
323,6
324,5
325,3
326,6
327,8
328,2
329,6
330,2
331,3
332,9
333,4
334,4
335,2
336,2
337,13
338,4
339,17
340,3
341,2
342,3
343,2
344,4
345,11
346,5
347,15
348,10
349,5
350,9
351,8
352,10
353,7
354,4
355,5
356,6
357,5
358,6
359,4
360,5
361,7
362,4
363,7
364,6
365,10
366,14
367,6
368,3
369,5
370,5
371,4
372,13
373,7
374,7
375,6
376,6
377,4
378,4
379,8
380,5
381,4
382,7
383,4
384,7
385,5
386,5
387,8
388,4
389,16
390,5
391,10
392,4
393,16
394,2
395,4
396,4
397,5
398,4
399,11
400,2
401,10
402,12
403,12
404,11
405,8
406,5
407,4
408,2
409,4
410,9
411,6
412,4
413,5
414,9
415,3
416,3
417,11
418,7
419,6
420,10
421,2
422,9
423,10
424,2
425,16
426,5
427,5
428,6
429,15
430,6
431,4
432,5
433,5
434,10
435,5
436,10
437,13
438,4
439,5
440,14
441,9
442,10
443,9
444,3
445,4
446,7
447,8
448,4
449,8
450,14
451,7
452,5
453,4
454,3
455,11
456,9
457,8
458,5
459,11
460,6
461,5
462,10
463,17
464,9
465,13
466,14
467,6
468,7
469,19
470,12
471,6
472,5
473,3
474,4
475,6
476,11
477,6
478,23
479,16
480,12
481,12
482,8
483,13
484,5
485,4
486,5
487,18
488,2
489,12
490,7
491,6
492,16
493,23
494,6
495,4
496,17
497,5
498,11
499,29
500,3
501,9
502,4
503,16
504,14
505,23
506,7
507,5
508,4
509,5
510,9
511,15
512,24
513,25
514,11
515,4
516,15
517,5
518,18
519,9
520,11
521,10
522,3
523,15
524,13
525,15
526,19
527,18
528,10
529,6
530,14
531,23
532,4
533,15
